,words
2900,"['全台', '最多', '受益人', '國泰', '永續', '股息', '下午', '公告', '本季', '預估', '配息', '金額', '為元', '換算', '年化配', '息率', '兩季', '加碼', '網友', '討論', '股息', '再次', '贏了', '要領', '年終', '有人', '分析', '成長率', '已經', '不太', '需要', '使用', '收益', '平準', '金來', '發配', '這次', '配息', '資本', '利得', '主配息', '金額', '不斷', '創高', '配息', '紀錄', '第一', '二季', '配發', '第三', '四季', '為元', '本次', '元配', '穩定', '向上', '增長', '平均', '年化配', '息率', '穩定', '維持', '以上', '本次', '拉高', '至破', '帶給', '投資人', '穩健', '領息', '安全感', '還能', '享受', '不斷', '加碼', '確幸', '一名', '網友', '轉貼', '配息', '公告', '內容摘要', '經理', '公司', '年月日', '基金', '發行', '在外', '單位', '相關', '資料', '估計', '基金', '預計', '配發', '金額', '受益權', '單位', '新臺幣', '收益分配', '基準日', '除息', '交易日', '收益分配', '發放', '日為', '其他人', '留言', '配息', '免費', '午餐', '穩定', '領錢', '安心', '感越', '配越', '股息', '偷著', '樂吧', '股息', '崩潰', '應該', '要領', '年終', '成分股', '華碩', '仁寶聯', '發科', '感謝', '幫忙', '抬轎配', '過年', '紅包', '行情', '越配', '可惡', '現金', '教訓', '外界', '質疑', '股息', '發放', '配息', '左手', '右手', '反駁', '紛紛', '留言', '平準', '制度', '沒錯', '規模', '沒什麼', '成長', '平準', '金佔', '右手', '單身', '多年', '右手', '粗壯', '右手', '現在', '成長率', '不太', '需要', '平準', '平均', '右手', '越換', '大好', '舒服', '發行量', '增加', '這次', '資本', '利得']"
2901,"['除息', '熱潮', '開跑', '投信', '進行', '旗下', '收益', '評價', '人氣', '國泰', '永續', '股息', '四檔', '台股', '搶先', '昨日', '公告', '配息', '金額', '配出', '最高', '金額', '單期', '息率', '為將', '除息', '優於', '市場', '預期', '股息', '市場競爭', '激烈', '產品', '不斷', '優化', '產品', '陸續', '推出', '年股', '大好', '挹注', '資本', '空間', '近期', '包含', '群益', '台灣', '精選', '高息', '復華', '台灣', '科技', '優息元', '大高', '股息', '熱門', '股息', '提高', '配息', '國民', '之稱', '國泰', '永續', '股息', '不落人後', '由前', '一季', '提高', '至元', '為史', '最高', '配息', '股債', '百花齊放', '但據', '集中', '結算', '資料', '國泰', '永續', '股息', '報酬率', '蟬聯', '受益', '人數', '榜首', '最新', '受益', '人數', '達萬', '僅次於', '中鋼', '以下', '學生族', '上班族', '家庭主婦', '三大群', '組裡', '持股', '最多', '喜愛', '群益', '擬於', '除息', '單期', '息率', '為據', '了解', '上半年', '台股', '除權', '淡季', '半年', '向來', '呈現', '大配', '小配', '一次', '多配', '一次', '少配', '特性', '兆豐', '臺灣', '藍籌', '再度', '變更', '配息', '頻率', '季配', '擬於', '除息', '單季', '息率', '為兆豐', '台灣晶圓', '製造', '同日', '擬除', '單期', '息率', '為兆豐', '永續', '高息', '權則', '成立', '至今', '參與', '台股', '除息', '旺季', '此次', '不配']"
2902,"['觀眾個', '公告', '配息元', '過年', '核心', '發放', '大紅包', '昨日', '公告', '第一次', '配息', '預計', '配發', '創史', '新高', '相信', '夥伴', '應該', '開心', '孫太', '這次', '預估', '領息元', '開心', '過完', '表演', '這次', '以下', '小夥', '驚喜', '意外', '看盤', '領息', '目前', '存股', '狀態', '本文', '內容', '已獲', '孫悟天', '存股', '孫太', '授權', '原文', '處於', '未經', '同意', '禁止', '取用', '轉載']"
2903,"['年月日', '國泰', '投信', '官網', '公告', '國泰', '永續', '股息', '年度', '第一季', '配息', '預計', '配發', '現金', '股利', '利用', '公告', '當天', '收盤價格', '計算', '單季', '息率', '年化配', '息率', '超乎', '預期', '配發', '原本', '知美以', '這次', '複製', '現金', '股利', '沒想到', '國泰', '投信', '過年', '硬是', '給了', '全台灣', '受益人', '驚喜', '年化配', '息率', '衝上', '強硬', '宣示', '國民', '地位', '這次', '配息', '金額', '知美', '滿意', '曉得', '持有', '感覺', '本次', '配息', '資訊', '最後', '買進', '年月日', '除息日', '年月日', '配息', '年月日', '市場', '面臨', '空頭', '整年', '含息', '報酬率', '比一', '整年', '含息', '報酬率', '抗跌', '市場', '面臨', '頭一', '整年', '含息', '報酬率', '比一', '整年', '含息', '報酬率', '更會漲', '面對', '市場', '空頭', '多頭', '表現', '亮眼', '一年', '總共', '配發', '現金', '股利', '選股', '邏輯', '利用', '最近', '三年', '平均', '年化', '股息', '利率', '篩選', '最近', '三年', '價格', '大漲大跌', '年化配', '息率', '穩定', '維持', '下身', '全台', '受益人', '數最多', '實至名歸', '保證', '未來', '現金', '股利', '金額', '配息', '一定', '填息', '歷史', '績效', '僅供參考', '保證', '未來', '獲利', '投資', '穩賺', '務必', '做好', '風險', '管控', '粉專', '內容', '提供', '投資', '買賣', '建議', '投資', '風險', '買賣', '自行', '判斷', '本文', '內容', '獲知', '授權', '原文', '處於', '未經', '同意', '禁止', '取用', '轉載']"
2904,"['昨天下午', '公布', '第一季', '配息元', '近季', '股息', '除以', '昨天', '收盤價', '元年', '化殖', '利率', '價格', '近期', '回到', '以上', '接近', '歷史', '高點', '能夠', '穩定', '繳出', '以上', '利率', '朋友', '定期', '定額', '口袋', '名單', '這次', '發元', '股息', '計算', '下來', '已經', '完全', '一個月', '房貸', '規劃', '一趟', '國內', '旅行', '來說', '投資', '實現', '生活', '越來越', '美好', '目標', '房子', '家人', '好幾年', '一起', '出資', '每個', '一點', '收入', '幫忙', '一些', '房貸', '一兩年', '現金流', '建置', '完成', '股息', '房貸', '提醒', '一下', '買房', '投資', '量力', '投資', '買房', '一輩子', '事選', '負擔', '房子', '保有', '一定', '現金', '慢慢', '分散', '投資', '投資', '長遠', '本文', '內容', '已獲', '艾蜜莉', '自由', '授權', '原文', '處於', '未經', '同意', '禁止', '取用', '轉載']"
2905,"['投信', '投顧', '公會', '統計', '債券', '淨流入', '億元', '大勝', '股票', '淨流入', '億元', '三檔', '長天', '期美債', '受益人', '更是', '榜上有名', '元大美債', '受益', '人數', '居冠', '來到', '萬人近', '一周', '增加', '國泰', '債近', '一周', '同樣', '增加', '來到', '萬人', '中信', '美債', '位居', '受益人', '第十名', '人數', '突破', '萬人', '顯示', '台股', '投資人', '債券', '買氣', '投資', '債券', '真的', '高枕無憂', '週三', '下午', '華盛頓', '舉行', '為期', '兩天', '政策', '會議', '投資者', '對聯', '準會', '降息', '預期', '已經', '來到', '近期', '新低', '聯準', '主席', '鮑威爾', '發布會', '變得', '至關重要', '尤其', '持續', '出人意料', '地下', '行而', '消費者', '支出', '出乎意料', '強勁', '似乎', '預告', '市場', '最想', '看到', '金髮', '女孩', '正在', '慢慢', '實現', '軟著陸', '降息', '帶給', '股市', '債市', '雙漲', '美好前景', '事情', '真的', '順利', '投資人', '忽略', '政策', '總體經濟', '動態變化', '本周', '美國財政部', '就要', '公布', '今年', '發債', '計畫', '陣子', '提到', '今年', '發債', '數量', '歷年來', '最高', '最新', '數據', '顯示', '將會', '億美元', '年期', '美債', '發行', '年增', '債券', '是否', '價格', '造成', '壓力', '發生', '發行', '債券', '多為', '長天', '債券', '市場', '就要', '迎來', '一波', '壓力', '這天', '將是', '美國財政部', '揭曉', '具體', '拍賣', '規模', '債務', '期限', '無獨有偶', '這天', '美聯儲', '會議', '將在', '同一天', '進行', '預料', '波動', '將會', '放大', '資料', '來源', '財經', '平方', '信評', '機構', '惠譽', '降評', '美債外', '美國財政部', '季度', '宣布', '發行', '構多', '長天', '期美債', '應對', '財政赤字', '這讓', '市場', '突然', '迎來', '波長', '天期', '債券', '拋售', '導致', '如上圖', '年期', '美債殖', '利率', '飆升', '至美股', '債券', '價格', '雙雙', '下跌', '同年', '美國財政部', '遏制', '美債', '遭到', '拋售', '利息支出', '上升', '財政部', '樂見', '高利率', '帶給', '政府', '利息支出', '美國財政部', '宣布', '將從', '長期', '債券', '轉向', '短期', '美債', '解決', '財政', '問題', '這才', '美債', '價格', '破底', '年期', '美債殖', '利率', '大跌', '美股', '大漲', '綜合', '上述', '債券', '價格', '與殖', '利率', '受到', '降息', '影響', '短期內', '受到', '供需', '法則', '影響', '直白', '美國', '融資', '需求', '能夠', '影響', '債券', '股票', '外匯市場', '趨勢', '進入', '迎來', '降息', '趨勢', '財政部', '發債', '舉措', '市場', '產生', '壓力', '動盪', '指望', '葉倫', '是否', '有意', '積極', '介入', '增加', '國庫卷', '減少', '附息', '債券', '發行', '比例', '做出', '一些', '口頭', '表示', '以此', '穩定', '債券市場', '情緒', '資料', '來源', '投資人', '抓住', '大方向', '債券', '利率', '債券', '價格', '反比', '市場', '已經', '意識', '三月', '降息', '機率', '拿不定', '主意', '上圖', '停止', '升息', '降息', '比率', '左右', '顯然', '機會', '沒把握', '距離', '首次', '降息', '時間', '緩緩', '未來', '高利率', '維持', '時間', '應當', '一段路', '起碼', '一兩個', '事情', '看到', '美國', '公債', '利率', '雪崩', '下降', '長天', '國債', '價格', '爆漲', '降息', '發債', '投資人', '關注', '重點', '若真', '市場', '猜測', '最糟', '狀況', '新債', '結構', '多數', '長天', '債券', '下述', '相關', '國債', '價格', '將會', '承受', '壓力', '如上圖', '價格', '下行', '建議', '投資人', '先停', '重要', '事件', '落幕', '操作', '真想', '進場', '技術', '分批操作', '避免', '短時間', '波動', '放大', '影響', '節奏', '三檔', '長天', '期美', '公債', '美國', '貨幣政策', '尚未', '明確', '轉向', '降息', '之前', '市場', '將會', '經歷', '很長', '一段', '停止', '加息', '時間', '這段', '時間', '內若', '重大', '國際', '事件', '擾動', '美國', '價格', '將會', '低檔', '區間', '震盪', '容易', '跌幅', '出現', '台灣', '債券', '總費用', '相對', '國際', '債券', '費用', '投資人', '若真', '意願', '投資', '債券', '彷將', '目光', '鎖定', '國際', '債券', '以下', '提供', '三檔', '值得', '觀察', '美國', '債供', '投資人', '參考', '研究', '主要', '追蹤', '長期', '以上', '美國', '國債', '指數', '具有', '利率', '敏感度', '適合', '投資者', '預期', '利率', '下降時', '尋求', '長期', '收益', '利率', '敏感度', '投資者', '主要', '投資', '年期', '美國', '國債', '相對', '長期', '債券', '利率', '敏感度', '適合', '投資者', '希望', '保持', '公債', '資產', '安全性', '減少', '利率', '波動', '敏感性', '相對', '上述', '兩檔', '債卷', '總費用', '低廉', '平均', '持有', '國治債', '以上', '中長期', '國債', '混合型', '能夠', '反映', '債券市場', '整體', '表現', '波動', '適中', '原文', '出處', '債券', '高枕無憂', '注意', '發債', '計畫', '恐引', '債券', '拋售', '延伸', '閱讀', '比特', '直接', '購買', '比特', '幣有何', '差別', '最新', '比特', '整理', '債券', '價格', '算為', '利率', '上升', '債券', '價格', '會跌', '台灣', '有望', '開放', '主動型', '被動型', '基金', '差異', '檔美股', '主動型']"
2906,"['第一', '配加', '收益', '平準', '債券', '國泰', '金融債', '今日', '公告', '成立', '以來', '首次', '配息', '如同', '投資人', '期待', '一口氣', '配發', '預估', '配息', '金額', '為元以', '收盤價', '估算', '單次配', '息率', '高達', '法人', '表示', '大手筆', '成立', '至今', '累積', '債息', '配出', '多數', '年終', '還多', '直接', '榮登', '配配', '王國', '金融債', '經理人', '郁婕', '表示', '本次', '符合', '多數', '期待', '方式', '評估', '配息', '金額', '提醒', '除息', '交易日', '投資人', '晚須', '買進', '持有', '參與', '本次', '配息', '今日', '凌晨', '公告', '聯準', '利率', '決策', '維持', '利率', '按兵不動', '聯準', '主席', '鮑爾', '會後', '表示', '今年', '放寬政策', '適當', '現在', '降息', '計畫', '尋找', '數據', '證明', '通膨可', '持續', '降溫', '鮑爾', '明確指出', '最有', '降息', '時間', '美股', '四大', '指數', '終場', '收黑', '美國', '年期', '公債', '利率', '走跌', '郁婕', '表示', '降息', '路徑', '不確定性', '寬鬆', '貨幣政策', '趨勢', '不變', '看好', '今年', '市場', '呈現', '股債', '雙多', '建議', '追求', '穩健', '配息', '投資人', '適當', '布局', '金融債', '鎖定', '目前', '偏高', '利率', '水準', '機會', '創造', '每月', '安穩', '現金流', '國泰', '金融債', '看好', '今年', '進入', '降息', '循環', '債券', '買氣', '不墜', '實際', '數據', '去年底', '基金', '規模', '台幣', '億元', '今年', '基金', '規模', '已暴', '增至', '新台幣', '億元', '單月', '增胖', '億元', '受益人', '基金', '萬人', '超過', '一倍', '成長', '萬人', '國泰', '金融債', '法人', '分析', '搶先', '布局', '基金', '首次', '配息外', '全台', '首檔', '搭配', '收益', '平準', '機制', '債券', '吸引', '退休', '穩健', '投資人', '搶進', '方便', '規畫', '每月', '現金流']"
2907,"['最新', '決策', '澆熄', '降息', '希望', '全球', '地緣', '政治', '風險', '再度', '升溫', '美國', '公債', '利率', '滑落', '逼近', '波段', '新低', '位置', '債券', '價格', '再起', '帶動', '今年以來', '資金', '湧入', '債券', '統計', '共有', '債券', '今年', '元月', '規模', '含息', '報酬', '呈現', '雙雙', '上漲', '態勢', '統計', '今年', '元月', '以來', '共有', '債券', '呈現', '規模', '含息', '報酬', '締造', '雙雙', '上漲', '佳績', '規模', '成長', '最多', '債券', '國泰', '金融債', '大增', '億元', '新光', '投等債', '增加', '億元', '元大美債', '群益', '投資', '科技', '國泰', '投資', '公司債', '新光', '電信', '債與', '群益', '投資', '金融債', '規模', '成長', '超過', '億元', '新光', '投等債', '經理人', '王韻茹', '表示', '全球股市', '元月', '漲多', '指數', '位置', '基期', '拉高', '半導體', '等利', '基類', '持續', '看好', '機構', '法人', '資金', '看準', '今年', '美國', '利率', '轉向', '降息', '美國', '進入', '大選年', '全球', '地緣', '政治', '風險', '不斷', '升溫', '元月', '以來', '紛紛', '轉向', '加碼', '投資', '等級', '債券', '尋求', '避險', '王韻茹', '認為', '戰爭', '以巴', '衝突', '仍未轉', '紅海', '危機', '升高', '朝鮮半島', '緊張', '台海', '局勢', '再次', '升溫', '全球', '法人', '級別', '避險', '資金', '動能', '積極', '錢進', '債市', '布局', '鮑爾', '表示', '不太可能', '降息', '美股', '帶頭', '急殺', '美年', '公債', '利率', '下滑', '債券', '價格', '再度', '蠢蠢欲動', '有望', '帶動', '債券', '價格上漲', '買氣', '繼續', '延續', '王韻茹', '建議', '現今', '美國', '景氣', '維持', '強韌', '經濟', '軟著陸', '有利', '債券', '投資', '尤其', '看好', '投資', '等級', '債券', '發行', '企業', '信用風險', '降低', '下想', '掌握', '降息', '債券', '甜頭', '投資人', '趁下', '波美', '降息', '前先', '提早', '卡位', '現在', '布局', '投資', '債券', '當時', '元月', '規模', '增加', '含息', '報酬率', '翻正', '前十名', '債券', '資料', '來源', '統計']"
2908,"['歲末', '已有', '許多', '領到', '年終獎金', '網友', '打算', '年終獎金', '投資', '買股', '考慮', '買進', '擔心', '目前', '股價', '約元', '太高', '不敢', '進場', '其他人', '表示', '現在', '股價', '依然', '便宜', '除息', '股價', '勢必會', '上漲', '網友', '強調', '看到', '綠色', '直言', '股息', '隨時', '買買', '忘記', '一名', '網友', '發文', '表示', '他領', '年終獎金', '打算', '所有', '獎金', '投資', '股票', '目前', '考慮', '購入', '觀察', '近幾週', '標的', '股價', '左右', '網上', '其他人', '以下', '擔心', '現在', '股價', '過高', '適合', '進場', '好奇', '現在', '進場', '年前', '進場', '其他人', '留言', '便宜', '看到', '綠色', '不用', '問有', '有錢', '歐印', '現在', '不買', '利率', '以下', '以下', '不用', '問吧', '存夠', '買殖', '利率', '覺得', '貴月', '除息', '飆到', '現在', '相對', '留言', '看股', '利率', '這檔', '目前', '最高', '應該', '不用', '大型', '幾支', '來放', '免費', '午餐', '利率', '穩穩', '領息', '每年', '填息', '股票', '定期', '定額', '無腦', '多買', '綠不買紅', '有人', '建議', '現在', '發行價', '申購', '期間', '會怕', '分批', '買進', '確定', '現在', '歐印', '三月', '最近', '真的', '無腦', '推薦']"
2909,"['全台', '最多', '受益人', '國泰', '永續', '股息', '下午', '公告', '本季', '預估', '配息', '金額', '為元', '換算', '年化配', '息率', '網友', '討論', '配息', '額度', '正好', '超越', '猶豫', '是否', '該將', '手上', '持有', '一半', '賣出', '改投', '其他人', '分析', '持有', '最多', '長榮', '表現', '疲軟', '金融', '比重', '推測', '今年', '配息', '亮眼', '配息', '紀錄', '第一', '二季', '配發', '第三', '四季', '為元', '本次', '則為', '元配', '穩定', '向上', '增長', '平均', '年化配', '息率', '穩定', '維持', '以上', '本次', '拉高', '至破', '一名', '網友', '發文', '表示', '本季', '配息元', '化配', '息率', '正好', '超越', '配息', '額度', '一點點', '直呼', '感覺', '火藥味', '很濃', '配元', '試算', '年化配', '息率', '無法', '確定', '未來', '是否', '穩定', '配息元', '網友', '說錯', '過的', '高峰', '回不去', '單壓', '科技', '業有', '一波', '紅利', '近期', '好像', '有點', '疲軟', '打算', '之前', '一半', '獲利', '了結', '掉換', '其他人', '留言', '持有', '最多', '長榮', '感覺', '我會', '金融', '比重', '應該', '今年', '配息', '不錯', '選買', '穩有', '閒錢', '加買', '感覺', '這波', '完全', '針對', '真的', '現在', '長榮', '聯電換', '股前', '績效', '很難', '有人', '提出', '建議', '留言', '隨便', '資本', '股息', '幾十年', '股息', '王道', '早就', '問題', '一堆', '債券', '重點', '買好', '質借', '低點', '借出來', '抄底']"
